GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountSystemTranslator,za.ac.nwu.ac.translator.impl,AccountTypeTranslatorImpl,104,8,2,0,24,4,6,2,5,2
AccountSystemTranslator,za.ac.nwu.ac.translator.config,TranslatorConfig,3,0,0,0,1,0,1,0,1,0
